区划代码    区县  地级市 省级  上级代码    历史代码    经度  纬度  电话区号    邮编  占地面积    人口总数    政府网址    政府地址
130202  路南区 唐山  河北  130200  *   118.15431   39.62505    0315    063000  118 37  http://www.lunanqu.gov.cn/  河北省唐山市路南区新华西道68号
130203  路北区 唐山  河北  130200  *   118.20079   39.62436    0315    063000  112 59  http://www.tslb.gov.cn/ 河北省唐山市路北区新华东道55号
130204  古冶区 唐山  河北  130200  *   118.45803   39.71993    0315    063100  249 36  http://www.guye.gov.cn/ 河北省唐山市古冶区京山道
130205  开平区 唐山  河北  130200  *   118.26171   39.67128    0315    063000  251 25  http://www.tskp.gov.cn/ 河北省唐山市开平区新苑路2号
130207  丰南区 唐山  河北  130200  *   118.11282   39.56483    0315    063300  1262    52  http://www.fengnan.gov.cn/  河北省唐山市丰南区正苑大街9号
130208  丰润区 唐山  河北  130200  *   118.12976   39.8244 0315    063000  1290    92  www.fengrun.gov.cn  河北省唐山市丰润区幸福道32号
130209  曹妃甸区    唐山  河北  130200  *   118.460379  39.27307    0315    063200  1281    21  www.caofeidian.gov.cn   河北省唐山市曹妃甸区垦丰大街23号
130223  滦县  唐山  河北  130200  *   118.70346   39.74056    0315    063700  1027    56  http://www.luanxian.gov.cn/ 河北省唐山市滦县滦河西路3号
130224  滦南县 唐山  河北  130200  *   118.6741    39.5039 0315    063500  1482    57  http://www.luannan.gov.cn/  河北省唐山市滦南县
130225  乐亭县 唐山  河北  130200  *   118.9125    39.42561    0315    063600  1417    49  http://www.laoting.gov.cn/  河北省唐山市乐亭县东大街3号
130227  迁西县 唐山  河北  130200  *   118.31616   40.14587    0315    064300  1439    39  http://www.qianxi.gov.cn/   河北省唐山市迁西县景忠东街21号
130229  玉田县 唐山  河北  130200  *   117.7388    39.90049    0315    064100  1165    69  http://www.yutian.gov.cn/   河北省唐山市玉田县北环西路1199号
130281  遵化市 唐山  河北  130200  *   117.96444   40.18741    0315    064200  1509    75  http://www.zunhua.gov.cn/   河北省唐山市遵化市海都道2号
130283  迁安市 唐山  河北  130200  *   118.70068   39.99833    0315    064400  1227    74  http://www.qianan.gov.cn/   河北省唐山市迁安市钢城大街
130300  秦皇岛 秦皇岛 河北  130000  *   119.586579  39.942531   0335    066000  7813    288 http://www.qhd.gov.cn/  河北省秦皇岛市海港区文化路206号
130302  海港区 秦皇岛 河北  130300  *   119.61046   39.9345 0335    066000  246 67  http://www.qhdhgq.gov.cn/   河北省秦皇岛市海港区秦皇东大街49号
130303  山海关区    秦皇岛 河北  130300  *   119.77563   39.97869    0335    066200  193 15  http://www.shanhaiguan.gov.cn/  河北省秦皇岛市山海关区关城南路119号
130304  北戴河区    秦皇岛 河北  130300  *   119.48388   39.83408    0335    066100  73  7   http://www.beidaihe.gov.cn/ 河北省秦皇岛市北戴河区联峰北路88号
130306  抚宁区 秦皇岛 河北  130300  130323  119.24487   39.87538    0335    066300  1618    48  http://www.chinafuning.gov.cn/  河北省秦皇岛市抚宁区金山大街2号
130321  青龙满族自治县 秦皇岛 河北  130300  *   118.95242   40.40743    0335    066500  3510    56  http://www.chinaqinglong.gov.cn/    河北省秦皇岛市青龙满族自治县燕山路267号
130322  昌黎县 秦皇岛 河北  130300  *   119.16595   39.70884    0335    066600  1212    53  http://www.changli.gov.cn/  河北省秦皇岛市昌黎县
130324  卢龙县 秦皇岛 河北  130300  *   118.89288   39.89176    0335    066400  961 42  http://www.lulong.gov.cn/   河北省秦皇岛市卢龙县永平大街
130400  邯郸  邯郸  河北  130000  *   114.490686  36.612273   0310    056000  12047   1004    http://www.hd.gov.cn/   河北省邯郸市高开区
130402  邯山区 邯郸  河北  130400  *   114.48375   36.60006    0310    056000  81  42  http://hdhs.gov.cn/ 河北省邯郸市邯山区陵园路58号
130403  丛台区 邯郸  河北  130400  *   114.49343   36.61847    0310    056000  28  37  http://ctq.hd.gov.cn/   河北省邯郸市丛台区
130404  复兴区 邯郸  河北  130400  *   114.45928   36.61134    0310    056000  142 31  http://www.hdfx.gov.cn/ 河北省邯郸市复兴区砖窑路
130406  峰峰矿区    邯郸  河北  130400  *   114.21148   36.41937    0310    056200  353 51  http://ff.hd.gov.cn/    河北省邯郸市峰峰矿区滏阳东路23号
130421  邯郸县 邯郸  河北  130400  *   114.53103   36.59385    0310    056000  339 32  http://www.hdx.gov.cn/  河北省邯郸市邯郸县陵园路190号
130423  临漳县 邯郸  河北  130400  *   114.6195    36.33461    0310    056600  742 73  http://www.lz.hd.gov.cn/    河北省邯郸市临漳县建安东路89号
